listId,word,index
dict-common,Abash,1
dict-common,Aberration,2
dict-common,Admonish,3
dict-common,Adulterate,4
dict-common,Aesthetic,5
dict-common,Alacrity,6
dict-common,Alleviate,7
dict-common,Amalgamate,8
dict-common,Ambiguous,9
dict-common,Ameliorate,10
dict-common,Anachronism,11
dict-common,Anomaly,12
dict-common,Antipathy,13
dict-common,Appease,14
dict-common,Approbation,15
dict-common,Appropriate,16
dict-common,Arbitrary,17
dict-common,Arcane,18
dict-common,Arduous,19
dict-common,Articulate,20
dict-common,Assuage,21
dict-common,Attenuate,22
dict-common,Audacious,23
dict-common,Austere,24
dict-common,Banal,25
dict-common,Belie,26
dict-common,Beneficent,27
dict-common,Bolster,28
dict-common,Burgeon,29
dict-common,Buttress,30
dict-common,Cacophony,31
dict-common,Capricious,32
dict-common,Castigate,33
dict-common,Caustic,34
dict-common,Censure,35
dict-common,Coalesce,36
dict-common,Cogent,37
dict-common,Commensurate,38
dict-common,Complacent,39
dict-common,Condone,40
dict-common,Confound,41
dict-common,Connoisseur,42
dict-common,Contentious,43
dict-common,Contrite,44
dict-common,Conundrum,45
dict-ielts,Abash,1
dict-ielts,Abdicate,2
dict-ielts,Abeyance,3
dict-ielts,Abide,4
dict-ielts,Abound,5
dict-ielts,Abridge,6
dict-ielts,Absolute,7
dict-ielts,Abstract,8
dict-ielts,Absurd,9
dict-ielts,Accede,10
dict-ielts,Accelerate,11
dict-ielts,Accentuate,12
dict-ielts,Acclaim,13
dict-ielts,Accomplishment,14
dict-ielts,Accord,15
dict-ielts,Accretion,16
dict-ielts,Accustomed,17
dict-ielts,Acerbic,18
dict-ielts,Acquit,19
dict-ielts,Acrimonious,20
dict-ielts,Acuity,21
dict-ielts,Acute,22
dict-ielts,Ad-Hoc,23
dict-ielts,Adamant,24
dict-ielts,Adept,25
dict-ielts,Adhere,26
dict-ielts,Adjacent,27
dict-ielts,Adjourn,28
dict-ielts,Adorn,29
dict-ielts,Adulterate,30
dict-ielts,Adversity,31
dict-ielts,Advocate,32
dict-ielts,Aesthetic,33
dict-ielts,Affected,34
dict-ielts,Affiliated,35
dict-ielts,Affinity,36
dict-ielts,Affirm,37
dict-ielts,Afflictions,38
dict-ielts,Aghast,39
dict-ielts,Agile,40
dict-academic,Abate,1
dict-academic,Aberration,2
dict-academic,Abstruse,3
dict-academic,Accolade,4
dict-academic,Acquiesce,5
dict-academic,Acumen,6
dict-academic,Admonish,7
dict-academic,Adroit,8
dict-academic,Adulation,9
dict-academic,Adversary,10
dict-academic,Aesthetic,11
dict-academic,Affable,12
dict-academic,Affluent,13
dict-academic,Aggrandize,14
dict-academic,Alacrity,15
dict-academic,Alleviate,16
dict-academic,Amalgamate,17
dict-academic,Ambivalent,18
dict-academic,Ameliorate,19
dict-academic,Amenable,20
dict-academic,Amiable,21
dict-academic,Anachronism,22
dict-academic,Anomaly,23
dict-academic,Antipathy,24
dict-academic,Appease,25
dict-academic,Approbation,26
dict-academic,Arbitrary,27
dict-academic,Arcane,28
dict-academic,Arduous,29
dict-academic,Articulate,30
dict-academic,Artifice,31
dict-academic,Assuage,32
dict-academic,Avarice,33
dict-academic,Banal,34
dict-academic,Belie,35
